Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0027,Male,,18,Monitor,Electronics,300,2,600,8.33,In Transit,10-01-2023
CUST0028,Male,West,50,Headphones,Accessories,100,2,200,19.13,,08-10-2023
CUST0029,Female,East,37,Headphones,Accessories,100,3,300,7.41,Delivered,27-03-2023
CUST0030,Male,West,37,Monitor,Electronics,300,1,300,9.72,Returned,30-03-2023
CUST0031,Male,West,,Headphones,Accessories,100,5,500,15.78,Delivered,21-04-2023
CUST0032,Male,South,37,Smartwatch,Wearables,200,2,400,14.16,Delivered,06-06-2023
CUST0033,Female,West,,Laptop,Electronics,1500,3,4500,6.86,In Transit,27-12-2023
CUST0034,Female,East,37,Smartphone,Electronics,800,5,4000,6.67,In Transit,04-01-2023
CUST0035,Female,West,54,Smartphone,Electronics,1658.432327,2,1600,15.8,In Transit,06-04-2023
CUST0036,Male,West,54,Keyboard,Accessories,50,1,50,13.9,Delivered,04-11-2023
CUST0037,Female,North,54,Smartphone,Electronics,800,5,4000,19.49,Returned,22-08-2023
CUST0038,Male,South,54,Headphones,Accessories,100,1,100,19.25,Delivered,18-12-2023
CUST0039,Male,East,,Mouse,Accessories,30,3,90,16.49,In Transit,29-07-2023
CUST0040,Female,North,28,Laptop,Electronics,1500,1,1500,12.71,Returned,31-08-2023
CUST0041,Male,South,28,Headphones,Accessories,100,3,300,17.16,Returned,10-08-2023
CUST0042,Male,,28,Monitor,Electronics,300,5,1500,13.09,Delivered,12-03-2023
CUST0043,Male,West,28,Monitor,Electronics,300,2,600,14.13,Delivered,11-02-2023
CUST0044,Female,East,55,Keyboard,Accessories,50,4,200,6.66,,13-08-2023
CUST0045,Female,South,55,Smartwatch,Wearables,200,4,800,7.31,Returned,16-03-2023
CUST0046,Male,South,20,Monitor,Electronics,300,1,300,7.32,Returned,18-12-2023
CUST0047,Male,West,58,Headphones,Accessories,100,3,300,6.08,Returned,22-03-2023
CUST0048,Male,North,58,Laptop,Electronics,1500,5,7500,6.21,,21-07-2023
CUST0049,Male,South,61,Smartphone,Electronics,800,1,800,17.43,Delivered,10-01-2023
CUST0050,Male,East,61,Smartphone,Electronics,800,2,1600,19.07,Delivered,03-10-2023
CUST0051,Female,North,61,Keyboard,Accessories,50,1,50,19.39,Delivered,28-07-2023
CUST0052,Female,East,61,Monitor,Electronics,300,1,300,6.63,In Transit,14-01-2023
CUST0053,Female,West,,Keyboard,Accessories,50,3,150,10.05,In Transit,26-11-2023
CUST0054,Female,West,36,Keyboard,Accessories,50,5,250,12.63,Delivered,17-12-2023
CUST0055,Female,,38,Mouse,Accessories,30,2,60,17.21,In Transit,28-11-2023
CUST0056,Female,South,38,Keyboard,Accessories,50,5,250,12.25,In Transit,12-05-2023
CUST0057,Female,South,38,Monitor,Electronics,300,2,600,17.38,Delivered,16-04-2023
CUST0058,Female,East,69,Keyboard,Accessories,50,1,50,14.53,Returned,23-04-2023
CUST0059,Male,West,69,Smartwatch,Wearables,200,1,200,12.86,In Transit,16-08-2023
CUST0060,Male,North,69,Monitor,Electronics,300,1,300,14.91,Delivered,05-04-2023
CUST0061,Male,South,69,Smartphone,Electronics,800,4,3200,19.42,Delivered,07-11-2023
CUST0062,Female,North,55,Monitor,Electronics,300,1,300,7.38,Delivered,26-10-2023
CUST0063,Female,South,55,Smartphone,Electronics,800,4,3200,8.31,Returned,13-09-2023
CUST0064,Male,North,43,Mouse,Accessories,30,4,120,10.77,,24-09-2023
CUST0065,Female,East,43,Smartwatch,Wearables,200,1,200,6.18,In Transit,28-12-2023
CUST0066,Female,North,33,Smartwatch,Wearables,200,2,400,10.07,Delivered,21-11-2023
CUST0067,Female,,33,Mouse,Accessories,30,1,30,15.29,Delivered,27-02-2023
CUST0068,Male,North,,Laptop,Electronics,1500,2,3000,8.24,Delivered,15-04-2023
CUST0069,Male,,33,Smartphone,Electronics,800,3,2400,5.22,Returned,12-09-2023
CUST0070,Female,South,33,Keyboard,Accessories,50,2,100,16.28,Returned,20-04-2023
CUST0071,Male,West,29,Headphones,Accessories,100,3,300,10.7,Delivered,23-04-2023
CUST0072,Female,South,29,Monitor,Electronics,300,3,900,18.32,Delivered,20-07-2023
CUST0073,Male,South,,Keyboard,Accessories,50,5,250,10.03,Returned,01-11-2023
CUST0074,Male,East,,Monitor,Electronics,300,5,1500,8.56,In Transit,30-10-2023
CUST0075,Female,South,29,Laptop,Electronics,1500,5,7500,10.36,Returned,07-01-2023
CUST0076,Female,East,57,Smartwatch,Wearables,200,2,400,17.94,In Transit,08-12-2023
CUST0077,Female,,57,Monitor,Electronics,300,2,600,15.59,Returned,02-09-2023
CUST0078,Female,South,57,Laptop,Electronics,1500,1,1500,9.69,Delivered,22-11-2023
CUST0079,Female,South,56,Headphones,Accessories,100,3,300,5.86,In Transit,25-11-2023
CUST0080,Female,East,56,Monitor,Electronics,300,3,900,17.34,Returned,22-05-2023
CUST0081,Male,West,56,Monitor,Electronics,300,1,300,8.87,Returned,25-07-2023
CUST0082,Female,East,27,Monitor,Electronics,300,1,300,16.61,In Transit,23-11-2023
CUST0083,Male,East,27,Smartphone,Electronics,800,5,4000,12.26,Returned,02-05-2023
CUST0084,Female,,36,Keyboard,Accessories,50,5,250,11.09,Returned,06-06-2023
CUST0085,Female,South,36,Monitor,Electronics,300,2,600,18.44,Returned,19-03-2023
CUST0086,Female,North,36,Laptop,Electronics,1500,4,6000,11.21,,16-10-2023
CUST0087,Male,,50,Smartwatch,Wearables,200,5,1000,6.09,In Transit,22-08-2023
CUST0088,Female,East,50,Headphones,Accessories,100,5,500,16.11,In Transit,07-11-2023
CUST0089,Female,West,50,Monitor,Electronics,300,1,300,14.36,Delivered,05-08-2023
CUST0090,Female,East,,Laptop,Electronics,1500,1,1500,6.62,Delivered,22-02-2023
CUST0091,Male,East,50,Mouse,Accessories,30,5,150,6.26,Delivered,07-04-2023
CUST0092,Male,West,50,Keyboard,Accessories,50,4,200,11.39,Delivered,17-01-2023
CUST0093,Male,East,50,Monitor,Electronics,300,4,1200,14.64,In Transit,28-01-2023
CUST0094,Female,West,66,Laptop,Electronics,1500,2,3000,9.26,In Transit,10-10-2023
CUST0095,Male,South,66,Monitor,Electronics,300,1,300,17.09,In Transit,03-04-2023
CUST0096,Female,East,44,Smartphone,Electronics,800,5,4000,17.36,Returned,03-07-2023
CUST0097,Female,West,44,Headphones,Accessories,100,4,400,10.03,In Transit,11-05-2023
CUST0098,Female,East,67,Smartphone,Electronics,800,5,4000,9.6,In Transit,22-10-2023
CUST0099,Male,North,67,Laptop,Electronics,1500,4,6000,13.3,Delivered,01-11-2023
CUST0100,Female,South,67,Smartwatch,Wearables,200,1,200,5.45,Returned,30-09-2023
CUST0101,Male,East,67,Keyboard,Accessories,50,1,50,19.41,In Transit,29-07-2023
CUST0102,Male,West,67,Smartphone,Electronics,800,3,2400,7.05,In Transit,14-12-2023
CUST0103,Female,East,67,Mouse,Accessories,30,2,60,12.54,,26-03-2023
CUST0104,Male,West,67,Mouse,Accessories,30,3,90,7.63,Delivered,22-07-2023
CUST0105,Female,South,63,Monitor,Electronics,300,5,1500,18,Returned,21-03-2023
CUST0106,Male,West,63,Laptop,Electronics,1500,3,4500,19.69,In Transit,30-12-2023
CUST0107,Male,North,63,Mouse,Accessories,30,4,120,14.68,Returned,11-03-2023
CUST0108,Male,North,63,Smartphone,Electronics,800,2,1600,6.57,Delivered,08-12-2023
CUST0109,Female,South,,Monitor,Electronics,300,2,600,15.3,Delivered,12-04-2023
CUST0110,Female,East,65,Keyboard,Accessories,50,3,150,10.84,,17-11-2023
CUST0111,Female,West,65,Keyboard,Accessories,50,1,50,7.55,Delivered,27-06-2023
CUST0112,Male,North,65,Laptop,Electronics,1500,5,7500,16.39,Returned,08-04-2023
CUST0113,Female,West,20,Mouse,Accessories,30,4,120,5.19,Returned,22-07-2023
CUST0114,Female,South,20,Keyboard,Accessories,50,3,150,11.05,Returned,16-09-2023
CUST0115,Female,North,33,Keyboard,Accessories,50,1,50,6.06,Delivered,02-08-2023
CUST0116,Male,South,,Keyboard,Accessories,50,3,150,9.99,,07-05-2023
CUST0117,Male,,33,Smartphone,Electronics,800,4,3200,13.29,Returned,23-07-2023
CUST0118,Female,South,33,Headphones,Accessories,100,5,500,8.27,In Transit,30-06-2023
CUST0119,Male,West,51,Keyboard,Accessories,103.6520204,4,200,11.41,Returned,20-05-2023
CUST0120,Female,West,51,Smartphone,Electronics,800,3,2400,15.28,In Transit,22-05-2023
CUST0121,Female,East,57,Monitor,Electronics,300,2,600,12.38,Returned,17-11-2023
CUST0122,Female,North,57,Keyboard,Accessories,50,2,100,16.78,,16-11-2023
CUST0123,Male,East,57,Monitor,Electronics,300,2,600,17.67,In Transit,18-12-2023
CUST0124,Male,North,57,Keyboard,Accessories,50,3,150,18.44,In Transit,21-02-2023
CUST0125,Male,,57,Smartphone,Electronics,800,2,1600,19.87,Returned,01-06-2023
CUST0126,Male,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,10-12-2023
CUST0127,Female,North,60,Smartphone,Electronics,800,2,1600,19.2,In Transit,11-08-2023
CUST0128,Male,,60,Laptop,Electronics,1500,1,1500,10.84,In Transit,06-09-2023
CUST0129,Male,East,60,Smartwatch,Wearables,200,1,200,10.14,,02-12-2023
CUST0130,Female,East,,Keyboard,Accessories,50,5,250,10.46,Returned,02-08-2023
CUST0131,Male,,29,Smartwatch,Wearables,200,1,200,7.53,Delivered,30-01-2023
CUST0132,Male,East,64,Smartphone,Electronics,800,4,3200,17.27,In Transit,08-08-2023
CUST0133,Male,East,64,Smartphone,Electronics,800,4,3200,5.82,Returned,02-10-2023
CUST0134,Female,South,57,Keyboard,Accessories,50,1,50,9.6,Delivered,04-12-2023
CUST0135,Male,East,57,Smartwatch,Wearables,200,5,1000,15.99,Returned,04-01-2023
CUST0136,Female,East,57,Smartphone,Electronics,800,2,1600,9.01,In Transit,08-11-2023
CUST0137,Female,South,22,Mouse,Accessories,30,4,120,19.24,In Transit,25-10-2023
CUST0138,Male,North,22,Keyboard,Accessories,50,4,200,9.82,Delivered,05-01-2023
CUST0139,Male,North,22,Keyboard,Accessories,50,4,200,11.99,Delivered,04-01-2023
CUST0140,Male,East,30,Mouse,Accessories,30,5,150,16.62,Returned,28-10-2023
CUST0141,Female,North,30,Keyboard,Accessories,50,4,200,16.61,Returned,16-10-2023
CUST0142,Female,South,30,Monitor,Electronics,300,2,600,16.31,Delivered,25-07-2023
CUST0143,Male,East,30,Smartwatch,Wearables,200,2,400,13.54,In Transit,08-08-2023
CUST0144,Female,East,30,Monitor,Electronics,300,4,1200,10.86,Delivered,03-09-2023
CUST0145,Male,West,30,Headphones,Accessories,100,1,100,15.64,Delivered,06-09-2023
CUST0146,Male,,30,Smartphone,Electronics,800,1,800,14.23,In Transit,23-02-2023
CUST0147,Female,South,30,Monitor,Electronics,300,1,300,14.91,In Transit,29-07-2023
CUST0148,Male,South,30,Smartwatch,Wearables,200,4,800,13.9,Returned,28-06-2023
CUST0149,Male,East,21,Mouse,Accessories,30,1,30,6.17,In Transit,23-10-2023
CUST0150,Female,East,21,Smartphone,Electronics,800,3,2400,15.78,Delivered,07-11-2023
CUST0151,Female,East,21,Monitor,Electronics,300,3,900,15.22,In Transit,03-01-2024
CUST0152,Male,East,21,Headphones,Accessories,100,4,400,18.3,Delivered,26-07-2023
CUST0153,Male,West,22,Headphones,Accessories,100,2,200,6.93,In Transit,09-04-2023
CUST0154,Female,East,22,Mouse,Accessories,30,1,30,8.22,Returned,25-02-2023
CUST0155,Female,South,22,Laptop,Electronics,1500,3,4500,11.69,Delivered,20-06-2023
CUST0156,Female,North,22,Mouse,Accessories,30,1,30,8.96,Returned,03-03-2023
CUST0157,Male,East,22,Laptop,Electronics,1500,2,3000,15.58,Delivered,16-12-2023
CUST0158,Female,West,41,Smartwatch,Wearables,200,3,600,10.92,Returned,18-06-2023
CUST0159,Female,West,41,Laptop,Electronics,1500,1,1500,14.86,Returned,21-10-2023
CUST0160,Male,East,41,Headphones,Accessories,207.3040408,2,200,9.15,Returned,23-04-2023
CUST0161,Male,North,34,Monitor,Electronics,300,2,600,11.88,Returned,23-09-2023
CUST0162,Male,North,34,Monitor,Electronics,300,2,600,12.94,In Transit,05-05-2023
CUST0163,Male,East,34,Smartwatch,Wearables,200,3,600,16.93,In Transit,13-04-2023
CUST0164,Female,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,26-11-2023
CUST0165,Female,North,59,Laptop,Electronics,1500,1,1500,12.63,Returned,06-02-2023
CUST0166,Male,North,,Mouse,Accessories,30,3,90,6.97,Returned,06-06-2023
CUST0167,Female,West,40,Laptop,Electronics,1500,1,1500,13.51,Delivered,21-07-2023
CUST0168,Male,West,41,Smartwatch,Wearables,200,4,800,8.56,Returned,03-01-2024
CUST0169,Female,West,41,Laptop,Electronics,1500,3,4500,13.82,Delivered,07-12-2023
CUST0170,Male,North,66,Mouse,Accessories,30,4,120,8.24,Returned,09-06-2023
CUST0171,Male,East,66,Monitor,Electronics,300,2,600,19.1,,02-07-2023
CUST0172,Male,South,66,Mouse,Accessories,30,4,120,14.27,In Transit,05-02-2023
CUST0173,Female,East,66,Headphones,Accessories,100,3,300,13.21,In Transit,13-03-2023
CUST0174,Male,East,66,Mouse,Accessories,30,2,60,6.23,In Transit,11-06-2023
CUST0175,Male,South,66,Monitor,Electronics,300,4,1200,17.59,Returned,12-09-2023
CUST0176,Female,South,66,Mouse,Accessories,30,2,60,12.21,Delivered,05-06-2023
CUST0177,Female,North,66,Keyboard,Accessories,50,4,200,14.49,Delivered,06-06-2023
CUST0178,Male,North,66,Smartphone,Electronics,800,4,3200,15.69,In Transit,27-05-2023
CUST0179,Female,North,25,Smartwatch,Wearables,200,1,200,14.9,Delivered,14-08-2023
CUST0180,Female,East,25,Smartwatch,Wearables,200,5,1000,16.41,In Transit,25-07-2023
CUST0181,Male,,25,Keyboard,Accessories,50,3,150,11.95,Returned,18-10-2023
CUST0182,Male,North,25,Laptop,Electronics,1500,4,6000,13.08,In Transit,18-09-2023
CUST0183,Female,South,25,Smartwatch,Wearables,200,1,200,6.96,Returned,20-11-2023
CUST0184,Female,North,64,Headphones,Accessories,100,1,100,10.32,Delivered,12-03-2023
CUST0185,Female,North,64,Keyboard,Accessories,50,1,50,13.13,In Transit,13-02-2023
CUST0186,Male,South,64,Smartphone,Electronics,800,1,800,19.15,Delivered,07-10-2023
CUST0187,Female,North,45,Smartwatch,Wearables,200,2,400,10.82,Returned,23-09-2023
CUST0188,Male,East,45,Keyboard,Accessories,50,1,50,11.27,Returned,13-09-2023
CUST0189,Female,South,45,Smartwatch,Wearables,200,3,600,18.24,Returned,25-11-2023
CUST0190,Male,East,45,Smartwatch,Wearables,200,4,800,10.62,Returned,11-01-2023
CUST0191,Female,North,,Mouse,Accessories,30,5,150,19.35,Delivered,20-10-2023
CUST0192,Female,South,23,Smartwatch,Wearables,200,2,400,5.73,Returned,03-01-2024
CUST0193,Male,North,62,Keyboard,Accessories,50,4,200,12.79,Delivered,29-09-2023
CUST0194,Female,East,62,Keyboard,Accessories,50,5,250,14.04,,03-01-2024
CUST0195,Female,East,42,Monitor,Electronics,300,2,600,6.22,In Transit,06-08-2023
CUST0196,Male,East,,Laptop,Electronics,1500,4,6000,16.49,Delivered,10-07-2023
CUST0197,Female,North,42,Mouse,Accessories,30,5,150,8.28,Returned,14-11-2023
CUST0198,Male,West,42,Headphones,Accessories,100,5,500,5.43,Delivered,24-10-2023
CUST0199,Female,West,42,Keyboard,Accessories,50,1,50,8.05,Delivered,13-07-2023
CUST0200,Male,North,42,Monitor,Electronics,300,4,1200,5.56,In Transit,06-06-2023
CUST0201,Male,North,18,Laptop,Electronics,1500,2,3000,7.81,Returned,22-06-2023
CUST0202,Female,East,18,Keyboard,Accessories,50,4,200,7.76,In Transit,20-08-2023
CUST0203,Female,South,18,Laptop,Electronics,1500,2,3000,10.13,Delivered,10-06-2023
CUST0204,Female,South,18,Mouse,Accessories,30,3,90,8.3,,06-02-2023
CUST0205,Male,North,41,Laptop,Electronics,1500,4,6000,7.13,Delivered,14-01-2023
CUST0206,Male,South,41,Keyboard,Accessories,50,4,200,19.12,Returned,03-04-2023
CUST0207,Male,,41,Keyboard,Accessories,50,1,50,5.56,Delivered,26-06-2023
CUST0208,Female,West,41,Headphones,Accessories,100,5,500,18.06,Delivered,15-03-2023
CUST0209,Male,South,41,Keyboard,Accessories,50,3,150,5.55,Delivered,13-03-2023
CUST0210,Female,South,35,Smartphone,Electronics,800,1,800,17.3,In Transit,07-05-2023
CUST0211,Female,South,35,Monitor,Electronics,300,1,300,15.16,Returned,25-10-2023
CUST0212,Male,West,43,Headphones,Accessories,100,4,400,11.4,Returned,24-04-2023
CUST0213,Male,West,43,Smartwatch,Wearables,200,2,400,13.02,Delivered,08-10-2023
CUST0214,Female,West,43,Monitor,Electronics,300,3,900,8.58,Returned,02-11-2023
CUST0215,Male,South,20,Keyboard,Accessories,50,1,50,17.61,Returned,13-08-2023
CUST0216,Male,North,20,Monitor,Electronics,300,4,1200,15.57,Delivered,06-11-2023
CUST0217,Female,North,20,Laptop,Electronics,1500,5,7500,15.07,In Transit,28-10-2023
CUST0218,Male,North,20,Smartwatch,Wearables,200,4,800,15.78,Delivered,14-06-2023
CUST0219,Male,West,61,Monitor,Electronics,300,1,300,13.82,Returned,15-09-2023
CUST0220,Female,West,61,Laptop,Electronics,1500,2,3000,5.42,Returned,14-06-2023
CUST0221,Male,North,61,Smartphone,Electronics,800,5,4000,6.31,Delivered,29-06-2023
CUST0222,Male,West,61,Monitor,Electronics,300,4,1200,18.5,Returned,23-05-2023
CUST0223,Female,East,61,Laptop,Electronics,1500,3,4500,12.21,Returned,28-10-2023
CUST0224,Male,West,61,Laptop,Electronics,3109.560612,1,1500,18.37,In Transit,01-09-2023
CUST0225,Female,West,61,Headphones,Accessories,100,1,100,6.6,Returned,20-03-2023
CUST0226,Female,East,,Headphones,Accessories,100,2,200,13.06,Returned,05-02-2023
CUST0227,Male,North,41,Headphones,Accessories,100,5,500,19.62,Delivered,04-03-2023
CUST0228,Male,South,41,Smartphone,Electronics,800,5,4000,6.41,In Transit,01-12-2023
CUST0229,Female,South,41,Smartphone,Electronics,800,1,800,6.24,Delivered,03-08-2023
CUST0230,Female,West,41,Smartwatch,Wearables,200,5,1000,12.79,In Transit,06-01-2023
CUST0231,Male,West,37,Laptop,Electronics,1500,2,3000,5.69,Returned,18-01-2023
CUST0232,Female,West,37,Headphones,Accessories,100,3,300,16.67,Returned,07-03-2023
CUST0233,Female,North,37,Smartphone,Electronics,800,1,800,12.78,Returned,03-01-2023
CUST0234,Male,West,37,Mouse,Accessories,30,3,90,13.86,Delivered,17-10-2023
CUST0235,Female,North,37,Monitor,Electronics,300,3,900,17.15,In Transit,03-01-2024
CUST0236,Female,South,37,Headphones,Accessories,100,3,300,9.91,In Transit,01-08-2023
CUST0237,Female,North,19,Laptop,Electronics,1500,4,6000,14.45,Delivered,08-11-2023
CUST0238,Male,East,64,Smartwatch,Wearables,200,3,600,5.7,In Transit,07-04-2023
CUST0239,Male,East,64,Smartwatch,Wearables,200,2,400,11.49,Returned,24-09-2023
CUST0240,Male,South,64,Mouse,Accessories,30,1,30,19.22,In Transit,31-07-2023
CUST0241,Female,North,64,Keyboard,Accessories,50,5,250,13.3,Returned,02-07-2023
CUST0242,Male,East,,Headphones,Accessories,100,3,300,10.81,Returned,07-12-2023
CUST0243,Male,East,,Monitor,Electronics,300,4,1200,16.88,In Transit,26-09-2023
CUST0244,Female,East,66,Laptop,Electronics,1500,4,6000,16.92,In Transit,23-09-2023
CUST0245,Female,East,66,Headphones,Accessories,100,2,200,8.65,In Transit,19-09-2023
CUST0246,Male,West,23,Monitor,Electronics,300,3,900,12.58,Returned,16-04-2023
CUST0247,Male,South,23,Smartphone,Electronics,800,1,800,6.7,,06-07-2023
CUST0248,Female,West,23,Laptop,Electronics,1500,5,7500,19.41,Delivered,21-12-2023
CUST0249,Female,North,46,Mouse,Accessories,30,4,120,10.01,In Transit,11-04-2023
CUST0250,Male,East,46,Smartphone,Electronics,800,2,1600,13.1,In Transit,07-01-2023
CUST0251,Female,South,,Headphones,Accessories,100,1,100,14.98,Delivered,04-12-2023
CUST0252,Female,South,46,Headphones,Accessories,100,5,500,11.88,Returned,02-08-2023
CUST0253,Male,West,46,Monitor,Electronics,300,3,900,18.83,Returned,19-09-2023
CUST0254,Male,East,46,Monitor,Electronics,300,1,300,6.17,In Transit,10-12-2023
CUST0255,Male,South,21,Headphones,Accessories,100,1,100,11.24,Delivered,02-09-2023
CUST0256,Male,East,21,Headphones,Accessories,100,4,400,12.96,In Transit,13-09-2023
CUST0257,Male,East,19,Keyboard,Accessories,50,4,200,5.32,Delivered,14-02-2023
CUST0258,Male,North,19,Monitor,Electronics,300,5,1500,13.7,In Transit,16-01-2023
CUST0259,Male,South,19,Smartwatch,Wearables,200,3,600,10.07,In Transit,18-11-2023
CUST0260,Male,North,36,Smartwatch,Wearables,200,2,400,12.03,Returned,28-08-2023
CUST0261,Female,South,56,Monitor,Electronics,300,2,600,13.6,Delivered,16-08-2023
CUST0262,Female,South,56,Mouse,Accessories,30,5,150,5.44,In Transit,23-06-2023
CUST0263,Male,East,26,Headphones,Accessories,100,5,500,16.96,Delivered,24-10-2023
CUST0264,Male,South,26,Monitor,Electronics,300,4,1200,6.9,Returned,05-11-2023
CUST0265,Male,North,26,Headphones,Accessories,100,2,200,17.84,Delivered,12-12-2023
CUST0266,Male,South,26,Mouse,Accessories,30,1,30,10.22,Delivered,26-10-2023
CUST0267,Male,South,50,Keyboard,Accessories,50,5,250,10.89,Delivered,19-03-2023
CUST0268,Male,East,50,Monitor,Electronics,300,3,900,14.75,Delivered,08-01-2023
CUST0269,Male,West,50,Mouse,Accessories,30,4,120,17.84,Returned,09-03-2023
CUST0270,Female,North,,Monitor,Electronics,621.9121225,3,900,14.86,In Transit,27-04-2023
CUST0271,Female,North,38,Laptop,Electronics,1500,3,4500,19.98,In Transit,10-05-2023
CUST0272,Female,West,38,Smartwatch,Wearables,200,4,800,18.89,Returned,03-05-2023
CUST0273,Female,East,38,Monitor,Electronics,300,1,300,7.57,Delivered,07-02-2023
CUST0274,Female,South,38,Keyboard,Accessories,50,4,200,11,Returned,26-12-2023
CUST0275,Male,South,26,Keyboard,Accessories,50,2,100,9.76,In Transit,13-06-2023
CUST0276,Female,North,26,Laptop,Electronics,1500,4,6000,5.57,In Transit,24-08-2023
CUST0277,Male,West,26,Smartwatch,Wearables,200,2,400,7.14,Returned,04-01-2023
CUST0278,Female,East,51,Headphones,Accessories,100,1,100,19.84,Delivered,27-05-2023
CUST0279,Male,West,51,Smartphone,Electronics,800,5,4000,6.74,Delivered,27-09-2023
CUST0280,Male,South,51,Monitor,Electronics,300,5,1500,11.39,Returned,31-07-2023
CUST0281,Male,North,38,Monitor,Electronics,300,1,300,17.22,Returned,13-08-2023
CUST0282,Male,West,38,Smartwatch,Wearables,200,3,600,19.89,Returned,07-08-2023
CUST0283,Male,South,38,Monitor,Electronics,300,5,1500,12.67,In Transit,05-01-2023
CUST0284,Male,North,38,Monitor,Electronics,300,2,600,5.79,Returned,19-01-2023
CUST0285,Female,West,38,Monitor,Electronics,300,4,1200,12.55,Delivered,27-08-2023
CUST0286,Female,,,Smartwatch,Wearables,200,1,200,6.03,Returned,21-04-2023
CUST0287,Male,West,30,Laptop,Electronics,1500,1,1500,9.98,Delivered,04-12-2023
CUST0288,Female,,,Smartphone,Electronics,800,4,3200,13.77,Delivered,11-10-2023
CUST0289,Male,East,28,Monitor,Electronics,300,1,300,17.98,Returned,03-01-2024
CUST0290,Male,West,28,Keyboard,Accessories,50,2,100,9.48,Returned,14-09-2023
CUST0291,Female,South,28,Laptop,Electronics,1500,1,1500,19.84,,17-02-2023
CUST0292,Male,,,Smartphone,Electronics,800,1,800,16.2,Returned,25-11-2023
CUST0293,Male,West,18,Smartphone,Electronics,800,5,4000,13.44,Delivered,02-05-2023
CUST0294,Female,North,18,Keyboard,Accessories,50,5,250,16,Delivered,05-01-2023
CUST0295,Male,West,26,Smartwatch,Wearables,200,5,1000,14.83,Delivered,03-07-2023
CUST0296,Male,West,26,Monitor,Electronics,300,2,600,12.94,,02-01-2023
CUST0297,Female,,49,Mouse,Accessories,30,2,60,17.46,Delivered,05-02-2023
CUST0298,Male,South,49,Monitor,Electronics,300,3,900,17.94,,20-01-2023
CUST0299,Female,North,,Headphones,Accessories,100,2,200,19.07,,08-05-2023
CUST0300,Female,North,49,Laptop,Electronics,1500,2,3000,11.24,In Transit,28-07-2023
CUST0301,Female,South,66,Laptop,Electronics,1500,1,1500,13.16,In Transit,06-02-2023
CUST0302,Female,West,66,Headphones,Accessories,100,5,500,14.84,Delivered,08-06-2023
CUST0303,Male,West,66,Monitor,Electronics,300,1,300,7.84,In Transit,08-12-2023
CUST0304,Male,West,66,Laptop,Electronics,1500,4,6000,11.5,In Transit,17-10-2023
CUST0305,Female,North,27,Mouse,Accessories,30,3,90,6.45,In Transit,19-09-2023
CUST0306,Female,South,27,Monitor,Electronics,300,3,900,7.99,In Transit,21-02-2023
